Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Richland County,"7,250","4,740","4,470",270,5.7,0,"2,510",
Roosevelt County,"7,150","4,540","3,870",670,14.8,10,"2,610",
Rosebud County,"6,520","4,290","3,930",360,8.4,0,"2,230",
Sanders County,"8,010","4,320","3,950",380,8.8,0,"3,680",
Sheridan County,"3,190","1,940","1,870",70,3.6,0,"1,250",
Silver Bow County,"26,310","16,730","15,670","1,070",6.4,30,"9,550",
Stillwater County,"6,230","4,090","3,890",200,4.9,0,"2,140",
Sweet Grass County,"2,730","1,810","1,770",40,2.2,0,910,
Teton County,"4,820","2,820","2,720",100,3.5,10,"1,990",
Toole County,"3,720","2,380","2,280",100,4.2,10,"1,320",
Treasure County,660,450,430,20,4.4,0,210,
Valley County,"5,870","3,690","3,510",180,4.9,0,"2,180",
Wheatland County,"1,480",830,790,40,4.8,0,640,
Wibaux County,800,530,500,30,5.7,0,270,
Yellowstone County,"97,170","67,980","65,150","2,830",4.2,80,"29,120",
Nebraska,"1,266,280","894,010","865,720","28,300",3.2,"7,260","365,010",Nebraska
Adams County,"22,760","15,990","15,540",450,2.8,20,"6,750",
Antelope County,"5,610","3,770","3,690",80,2.1,0,"1,840",
Arthur County,350,250,250,0,0.0,0,100,
Banner County,620,400,400,10,2.5,0,220,
Blaine County,450,280,280,0,0.0,0,170,
Boone County,"4,570","3,020","2,980",40,1.3,0,"1,550",
Box Butte County,"9,010","6,130","5,830",300,4.9,0,"2,880",
Boyd County,"1,900","1,190","1,160",20,1.7,0,710,
Brown County,"2,730","1,770","1,740",30,1.7,0,960,
Buffalo County,"30,380","22,760","22,250",510,2.2,10,"7,610",
Burt County,"5,960","3,840","3,740",100,2.6,10,"2,110",
Butler County,"6,530","4,400","4,320",90,2.0,10,"2,120",
Cass County,"18,140","12,910","12,570",340,2.6,170,"5,060",
Cedar County,"6,970","4,740","4,620",130,2.7,0,"2,230",
Chase County,"3,100","1,990","1,960",30,1.5,0,"1,110",
Cherry County,"4,640","3,250","3,190",60,1.8,0,"1,390",
Cheyenne County,"7,440","5,140","5,030",110,2.1,10,"2,290",
Clay County,"5,300","3,480","3,380",100,2.9,10,"1,820",
Colfax County,"7,710","5,450","5,260",190,3.5,0,"2,260",
Cuming County,"7,550","5,320","5,220",100,1.9,0,"2,230",
Custer County,"8,840","5,830","5,720",100,1.7,0,"3,020",
Dakota County,"14,510","10,480","10,080",400,3.8,10,"4,020",
Dawes County,"6,420","4,400","4,300",100,2.3,10,"2,010",
Dawson County,"17,570","11,740","11,300",440,3.7,10,"5,810",
Deuel County,"1,660","1,090","1,060",20,1.8,0,570,
Dixon County,"4,690","3,250","3,150",100,3.1,0,"1,450",
Dodge County,"27,230","18,590","18,010",580,3.1,20,"8,620",
Douglas County,"343,320","246,050","237,130","8,920",3.6,800,"96,480",
Dundy County,"1,740","1,100","1,080",20,1.8,0,630,
Fillmore County,"4,920","3,300","3,220",70,2.1,0,"1,630",
Franklin County,"2,700","1,680","1,650",30,1.8,0,"1,020",
Frontier County,"2,280","1,570","1,540",30,1.9,0,710,
Furnas County,"4,110","2,490","2,400",90,3.6,0,"1,630",
Gage County,"17,120","12,000","11,660",340,2.8,30,"5,100",
Garden County,"1,810","1,160","1,140",20,1.7,0,650,
Garfield County,"1,450",930,910,20,2.2,0,530,
Gosper County,"1,650","1,070","1,060",10,0.9,0,590,
Grant County,570,410,410,0,0.0,0,150,
Greeley County,"2,030","1,310","1,280",30,2.3,0,730,
Hall County,"39,490","27,910","26,840","1,070",3.8,30,"11,550",
Hamilton County,"6,890","4,890","4,770",120,2.5,0,"2,000",
Harlan County,"2,940","1,810","1,760",50,2.8,0,"1,130",
Hayes County,820,530,520,10,1.9,0,290,
Hitchcock County,"2,430","1,480","1,440",40,2.7,0,960,
Holt County,"8,660","5,820","5,710",120,2.1,10,"2,820",
Hooker County,600,380,370,10,2.6,0,220,
Howard County,"4,900","3,430","3,330",100,2.9,0,"1,470",
Jefferson County,"6,500","4,220","4,070",150,3.6,0,"2,280",
Johnson County,"3,480","2,240","2,140",100,4.5,10,"1,230",
Kearney County,"5,070","3,610","3,520",90,2.5,10,"1,450",
Keith County,"6,860","4,590","4,440",140,3.1,0,"2,270",
Keya Paha County,770,480,470,10,2.1,0,290,
Kimball County,"3,140","2,060","2,010",40,1.9,0,"1,080",
Knox County,"7,030","4,520","4,370",150,3.3,0,"2,520",
Lancaster County,"186,220","139,810","135,850","3,960",2.8,520,"45,890",
Lincoln County,"26,160","17,530","16,850",680,3.9,20,"8,610",
Logan County,600,400,390,10,2.5,0,200,
Loup County,530,330,320,0,0.0,0,210,
Madison County,"25,660","18,230","17,510",720,3.9,20,"7,410",
Mc Pherson County,410,260,260,0,0.0,0,150,
Merrick County,"6,100","4,140","4,020",120,2.9,0,"1,960",
Morrill County,"4,080","2,680","2,540",140,5.2,0,"1,400",
Nance County,"2,970","1,940","1,890",40,2.1,0,"1,040",
Nemaha County,"5,590","3,630","3,480",150,4.1,0,"1,970",
Nuckolls County,"3,980","2,480","2,420",60,2.4,0,"1,500",
Otoe County,"11,500","7,970","7,680",300,3.8,40,"3,490",
Pawnee County,"2,430","1,530","1,480",50,3.3,0,900,
Perkins County,"2,430","1,570","1,530",40,2.5,0,860,
Phelps County,"7,250","5,100","4,950",150,2.9,0,"2,150",
Pierce County,"5,760","4,010","3,920",90,2.2,0,"1,760",
Platte County,"23,350","16,590","16,170",420,2.5,20,"6,750",
Polk County,"4,270","2,860","2,810",50,1.7,0,"1,410",
Red Willow County,"8,700","5,830","5,680",150,2.6,10,"2,870",
Richardson County,"7,290","4,570","4,340",220,4.8,0,"2,720",
Rock County,"1,390",920,900,20,2.2,0,470,
Saline County,"9,990","6,870","6,710",160,2.3,20,"3,100",
Sarpy County,"87,890","63,120","61,340","1,780",2.8,"5,320","19,440",
Saunders County,"14,700","10,490","10,240",250,2.4,30,"4,180",
Scotts Bluff County,"27,990","18,170","17,220",950,5.2,40,"9,780",
Seward County,"11,650","8,290","8,110",180,2.2,40,"3,320",
Sheridan County,"4,720","3,080","3,000",80,2.6,0,"1,640",
Sherman County,"2,590","1,690","1,640",50,3.0,0,900,
Sioux County,"1,160",750,720,30,4.0,0,410,
Stanton County,"4,640","3,390","3,300",90,2.7,0,"1,260",
Thayer County,"4,630","2,950","2,880",60,2.0,0,"1,680",
Thomas County,590,390,380,10,2.6,0,200,
Thurston County,"4,700","2,920","2,550",370,12.7,0,"1,780",
Valley County,"3,560","2,300","2,240",60,2.6,0,"1,260",
Washington County,"13,770","10,250","10,000",250,2.4,10,"3,510",
Wayne County,"6,750","4,870","4,750",120,2.5,0,"1,880",
Webster County,"3,060","1,880","1,800",80,4.3,0,"1,170",
Wheeler County,660,470,460,20,4.3,0,190,
York County,"10,670","7,310","7,130",180,2.5,0,"3,370",
Nevada,"1,505,700","989,450","930,300","59,140",6.0,"6,850","509,410",Nevada
Carson City,"38,320","24,750","23,610","1,140",4.6,40,"13,530",
Churchill County,"17,310","10,890","10,250",640,5.9,600,"5,820",
Clark County,"1,039,290","678,250","635,860","42,390",6.2,"5,860","355,180",
Douglas County,"32,310","20,560","19,340","1,220",5.9,30,"11,720",
Elko County,"31,600","22,790","21,490","1,300",5.7,10,"8,800",
Esmeralda County,810,460,440,20,4.3,0,350,
Eureka County,"1,230",750,720,30,4.0,0,480,
Humboldt County,"11,460","7,620","6,990",630,8.3,0,"3,840",
Lander County,"4,050","2,690","2,480",210,7.8,0,"1,350",
Lincoln County,"2,850","1,540","1,460",80,5.2,0,"1,310",
Lyon County,"25,940","16,510","15,370","1,140",6.9,30,"9,400",
Mineral County,"3,950","2,340","2,060",280,12.0,0,"1,610",
Nye County,"25,430","13,230","12,320",910,6.9,0,"12,200",
Pershing County,"3,750","2,460","2,270",190,7.7,0,"1,290",
Storey County,"2,810","1,880","1,780",100,5.3,0,930,
Washoe County,"258,590","179,150","170,530","8,620",4.8,280,"79,160",
White Pine County,"6,000","3,590","3,310",270,7.5,0,"2,420",
New Hampshire,"925,550","663,550","643,390","20,160",3.0,790,"261,210",New Hampshire
Belknap County,"43,410","29,750","28,790",960,3.2,20,"13,640",
Carroll County,"34,460","22,130","21,340",790,3.6,10,"12,330",
Cheshire County,"54,830","38,550","37,380","1,180",3.1,20,"16,250",
Coos County,"25,910","16,530","15,640",880,5.3,20,"9,370",
Grafton County,"59,820","41,760","40,340","1,420",3.4,40,"18,030",
Hillsborough County,"283,340","207,190","200,790","6,410",3.1,240,"75,920",
Merrimack County,"99,950","72,080","70,030","2,040",2.8,60,"27,820",
Rockingham County,"209,400","154,940","150,930","4,000",2.6,210,"54,250",
Strafford County,"83,090","59,500","57,670","1,820",3.1,190,"23,400",
Sullivan County,"31,340","21,130","20,470",660,3.1,10,"10,210",
New Jersey,"6,355,180","4,142,030","3,923,820","218,210",5.3,"7,990","2,205,160",New Jersey
Atlantic County,"188,610","122,610","115,180","7,420",6.1,240,"65,760",
Bergen County,"691,510","450,970","433,340","17,630",3.9,100,"240,450",
Burlington County,"315,000","213,920","205,580","8,340",3.9,"4,230","96,860",
Camden County,"378,140","249,080","234,570","14,510",5.8,230,"128,820",
Cape May County,"79,440","48,280","44,370","3,910",8.1,370,"30,790",
Cumberland County,"101,380","64,140","58,890","5,250",8.2,30,"37,210",
Essex County,"586,210","364,840","332,830","32,010",8.8,130,"221,240",
Gloucester County,"189,840","129,980","124,080","5,900",4.5,50,"59,810",
Hudson County,"477,030","295,220","270,630","24,590",8.3,160,"181,650",
Hunterdon County,"89,590","64,970","63,360","1,610",2.5,10,"24,600",
Mercer County,"254,540","169,560","161,810","7,750",4.6,120,"84,850",
Middlesex County,"570,950","383,430","365,990","17,440",4.5,140,"187,380",
Monmouth County,"461,540","306,850","293,830","13,020",4.2,"1,200","153,500",
Morris County,"355,960","249,680","242,250","7,440",3.0,180,"106,090",
Ocean County,"396,090","223,550","213,000","10,550",4.7,460,"172,070",
Passaic County,"364,750","229,390","213,280","16,110",7.0,80,"135,290",
Salem County,"48,690","31,100","29,270","1,840",5.9,40,"17,550",
Somerset County,"223,950","158,200","153,630","4,570",2.9,60,"65,690",
Sussex County,"106,620","76,450","73,780","2,670",3.5,70,"30,090",
Union County,"398,290","256,890","243,080","13,810",5.4,80,"141,330",
Warren County,"77,060","52,930","51,060","1,870",3.5,30,"24,110",
New Mexico,"1,333,940","815,800","758,590","57,210",7.0,"9,340","508,800",New Mexico
Bernalillo County,"421,610","275,860","260,860","15,010",5.4,"3,460","142,290",
Catron County,"2,910","1,390","1,270",120,8.6,0,"1,520",
Chaves County,"44,600","25,170","22,930","2,240",8.9,30,"19,410",
Cibola County,"17,550","9,810","8,680","1,130",11.5,20,"7,720",
Colfax County,"10,740","6,440","6,040",400,6.2,10,"4,290",
Curry County,"31,650","18,190","16,970","1,220",6.7,"1,910","11,560",
De Baca County,"1,710",940,890,50,5.3,0,770,
Dona Ana County,"123,320","73,030","66,960","6,080",8.3,390,"49,900",
Eddy County,"37,910","22,000","20,520","1,480",6.7,20,"15,890",
Grant County,"23,240","12,320","11,340",980,8.0,10,"10,900",
Guadalupe County,"3,150","1,720","1,600",120,7.0,0,"1,430",
Harding County,680,380,360,10,2.6,0,300,
Hidalgo County,"4,200","2,350","2,120",230,9.8,0,"1,850",
Lea County,"39,110","22,140","20,200","1,940",8.8,20,"16,950",
Lincoln County,"15,320","8,880","8,540",340,3.8,10,"6,430",
Los Alamos County,"14,100","9,850","9,650",200,2.0,0,"4,250",
Luna County,"18,200","8,630","7,160","1,470",17.0,0,"9,560",
McKinley County,"48,830","26,400","21,880","4,520",17.1,10,"22,420",
Mora County,"3,950","1,920","1,690",240,12.5,10,"2,020",
Otero County,"44,690","23,810","21,910","1,900",8.0,"2,800","18,090",
Quay County,"7,830","4,260","4,040",220,5.2,10,"3,560",
Rio Arriba County,"30,270","17,860","16,430","1,430",8.0,10,"12,400",
Roosevelt County,"12,780","7,650","7,190",460,6.0,160,"4,980",
San Juan County,"80,130","48,900","44,500","4,400",9.0,20,"31,220",
San Miguel County,"21,490","12,180","11,190",990,8.1,10,"9,300",
Sandoval County,"65,380","41,220","38,740","2,480",6.0,160,"24,000",
Santa Fe County,"99,620","67,320","64,320","3,000",4.5,100,"32,190",
Sierra County,"10,730","4,780","4,470",310,6.5,10,"5,940",
Socorro County,"13,010","7,600","6,890",700,9.2,10,"5,410",
Taos County,"23,250","14,780","13,530","1,250",8.5,30,"8,440",
Torrance County,"11,820","7,220","6,790",440,6.1,10,"4,590",
Union County,"3,150","1,930","1,890",40,2.1,10,"1,210",
Valencia County,"47,040","28,890","27,060","1,830",6.3,130,"18,030",
New York,"14,245,260","8,857,360","8,303,150","554,200",6.3,"14,710","5,373,190",New York
Albany County,"220,790","147,520","141,730","5,790",3.9,280,"72,990",
Allegany County,"35,020","21,210","19,680","1,530",7.2,20,"13,800",
Bronx County,"932,150","492,530","426,290","66,240",13.4,350,"439,270",
Broome County,"150,710","94,350","89,750","4,610",4.9,60,"56,300",
Cattaraugus County,"61,650","39,740","37,100","2,640",6.6,20,"21,880",
Cayuga County,"59,320","39,260","37,260","2,000",5.1,20,"20,040",
Chautauqua County,"103,650","65,730","61,850","3,870",5.9,40,"37,890",
Chemung County,"66,060","41,690","38,750","2,940",7.1,10,"24,370",
Chenango County,"38,300","23,990","22,690","1,300",5.4,20,"14,290",
Clinton County,"56,770","36,430","34,210","2,230",6.1,10,"20,320",
Columbia County,"47,440","30,730","29,500","1,230",4.0,40,"16,670",
Cortland County,"35,310","23,540","22,090","1,450",6.2,20,"11,750",
Delaware County,"36,530","21,650","20,420","1,220",5.6,10,"14,870",
Dutchess County,"200,370","133,280","128,150","5,130",3.8,90,"67,000",
Erie County,"715,440","454,290","429,170","25,120",5.5,450,"260,700",
Essex County,"28,170","17,680","16,480","1,200",6.8,20,"10,480",
Franklin County,"34,140","21,640","20,070","1,570",7.3,20,"12,470",
Fulton County,"41,530","25,770","24,170","1,600",6.2,30,"15,720",
Genesee County,"45,200","30,970","29,660","1,310",4.2,30,"14,200",
Greene County,"34,510","21,270","20,180","1,090",5.1,10,"13,230",
Hamilton County,"4,380","2,580","2,320",250,9.7,10,"1,800",
Herkimer County,"49,620","30,980","29,180","1,800",5.8,30,"18,610",
Jefferson County,"77,280","44,340","40,320","4,020",9.1,"5,460","27,480",
Kings County,"1,841,820","1,028,400","924,810","103,580",10.1,840,"812,580",
Lewis County,"20,180","12,710","11,730",980,7.7,150,"7,320",
Livingston County,"44,470","30,570","29,010","1,570",5.1,10,"13,900",
Madison County,"49,600","33,040","31,240","1,800",5.4,10,"16,550",
Monroe County,"541,770","362,940","345,180","17,760",4.9,300,"178,530",
Montgomery County,"37,820","22,960","21,660","1,300",5.7,50,"14,810",
Nassau County,"1,020,100","649,030","626,890","22,140",3.4,410,"370,650",
New York County,"1,250,160","812,670","756,940","55,730",6.9,110,"437,380",
Niagara County,"167,610","106,190","99,980","6,210",5.8,240,"61,180",
Oneida County,"170,850","106,480","101,400","5,080",4.8,350,"64,030",
Onondaga County,"339,690","223,440","212,450","11,000",4.9,410,"115,840",
Ontario County,"74,750","52,300","50,160","2,140",4.1,40,"22,410",
Orange County,"239,340","157,980","151,230","6,750",4.3,"1,270","80,090",
Orleans County,"30,610","19,970","18,710","1,260",6.3,0,"10,640",
Oswego County,"89,360","57,280","53,160","4,130",7.2,110,"31,970",
Otsego County,"44,660","28,220","26,750","1,470",5.2,30,"16,420",
Putnam County,"71,210","50,060","48,600","1,460",2.9,10,"21,140",
Queens County,"1,750,590","1,030,910","955,340","75,580",7.3,340,"719,330",
Rensselaer County,"114,700","77,960","74,450","3,500",4.5,80,"36,660",
Richmond County,"334,210","205,490","194,160","11,330",5.5,340,"128,390",
Rockland County,"207,370","138,460","133,860","4,600",3.3,30,"68,880",
Saratoga County,"151,820","106,070","102,170","3,900",3.7,"1,160","44,580",
Schenectady County,"110,080","70,030","67,130","2,900",4.1,140,"39,920",
Schoharie County,"23,300","14,500","13,720",780,5.4,10,"8,800",
Schuyler County,"14,400","9,270","8,580",680,7.3,10,"5,120",
Seneca County,"24,360","15,450","14,640",820,5.3,20,"8,890",
St. Lawrence County,"77,800","46,370","42,990","3,380",7.3,150,"31,280",
Steuben County,"74,650","47,350","44,100","3,250",6.9,40,"27,270",
Suffolk County,"1,059,080","703,030","678,100","24,930",3.5,570,"355,480",
Sullivan County,"53,190","31,910","29,840","2,070",6.5,20,"21,260",
Tioga County,"38,810","25,940","24,670","1,270",4.9,0,"12,870",
Tompkins County,"68,780","45,530","43,950","1,580",3.5,50,"23,210",
Ulster County,"130,100","85,760","82,270","3,490",4.1,180,"44,160",
Warren County,"48,690","31,590","29,910","1,680",5.3,20,"17,080",
Washington County,"43,950","28,680","27,340","1,350",4.7,60,"15,210",
Wayne Couhty,"69,190","47,610","45,490","2,120",4.5,20,"21,560",
Westchester County,"694,180","448,550","429,720","18,830",4.2,100,"245,520",
Wyoming County,"29,990","20,110","18,940","1,180",5.9,20,"9,860",
Yates County,"17,760","11,400","10,870",530,4.6,0,"6,360",
North Carolina,"6,040,430","3,972,270","3,795,050","177,220",4.5,"54,520","2,013,640",North Carolina
Alamance County,"99,130","66,830","64,320","2,510",3.8,20,"32,280",
Alexander County,"26,080","18,690","18,220",470,2.5,20,"7,370",
Alleghany County,"8,690","5,330","5,130",210,3.9,0,"3,360",
Anson County,"18,150","10,720","10,080",650,6.1,0,"7,430",
Ashe County,"19,830","11,890","11,390",500,4.2,0,"7,940",
Avery County,"12,370","7,490","7,110",380,5.1,0,"4,880",
Beaufort County,"34,950","20,170","18,890","1,280",6.3,10,"14,770",
Bertie County,"15,020","8,110","7,540",570,7.0,20,"6,900",
Bladen County,"24,540","13,770","13,080",700,5.1,20,"10,740",
Brunswick County,"58,590","33,880","32,350","1,540",4.5,100,"24,610",
Buncombe County,"159,720","103,670","99,750","3,920",3.8,100,"55,950",
Burke County,"66,500","44,830","43,190","1,650",3.7,10,"21,660",
Cabarrus County,"98,450","69,420","66,910","2,510",3.6,70,"28,970",
Caldwell County,"60,060","41,060","39,720","1,350",3.3,50,"18,950",
Camden County,"5,420","3,220","3,100",120,3.7,90,"2,110",
Carteret County,"47,620","28,220","27,050","1,170",4.1,670,"18,730",
Caswell County,"17,300","10,790","10,150",640,5.9,0,"6,500",
Catawba County,"108,690","76,910","74,800","2,110",2.7,120,"31,660",
Chatham County,"38,850","25,810","25,060",750,2.9,30,"13,010",
Cherokee County,"19,670","10,740","10,160",580,5.4,40,"8,890",
Chowan County,"10,800","6,180","5,840",340,5.5,10,"4,610",
Clay County,"7,230","3,910","3,770",140,3.6,10,"3,310",
Cleveland County,"71,890","46,640","44,390","2,250",4.8,40,"25,200",
Columbus County,"40,980","22,610","20,940","1,660",7.3,50,"18,330",
Craven County,"66,290","37,640","35,660","1,980",5.3,"3,860","24,790",
Cumberland County,"208,400","117,810","109,980","7,830",6.6,"22,910","67,680",
Currituck County,"13,940","8,860","8,530",330,3.7,210,"4,870",
Dare County,"24,080","16,450","15,670",780,4.7,80,"7,540",
Davidson County,"113,650","76,840","74,130","2,710",3.5,50,"36,770",
Davie County,"26,890","17,540","16,940",600,3.4,0,"9,340",
Duplin County,"36,660","22,950","21,630","1,310",5.7,40,"13,680",
Durham County,"167,520","117,400","112,530","4,870",4.1,110,"50,020",
Edgecombe County,"41,200","24,980","22,670","2,310",9.2,10,"16,210",
Forsyth County,"230,240","154,820","148,840","5,980",3.9,120,"75,300",
Franklin County,"35,220","23,730","22,680","1,050",4.4,10,"11,480",
Gaston County,"145,430","96,010","91,350","4,660",4.9,60,"49,370",
Gates County,"7,860","4,520","4,330",190,4.2,20,"3,310",
Graham County,"6,380","3,500","3,300",210,6.0,0,"2,870",
Granville County,"32,800","21,800","20,880",920,4.2,30,"10,970",
Greene County,"13,550","8,490","7,880",610,7.2,20,"5,040",
Guilford County,"317,770","223,270","213,930","9,340",4.2,180,"94,320",
Halifax County,"42,080","22,580","20,850","1,740",7.7,10,"19,490",
Harnett County,"66,070","41,280","39,050","2,230",5.4,"2,420","22,370",
Haywood County,"43,270","25,130","24,040","1,090",4.3,10,"18,130",
Henderson County,"70,760","41,160","39,510","1,650",4.0,10,"29,590",
Hertford County,"17,200","9,480","8,690",800,8.4,10,"7,710",
Hoke County,"23,460","14,090","13,100",990,7.0,"1,480","7,890",
Hyde County,"4,140","2,350","2,230",120,5.1,0,"1,790",
Iredell County,"93,100","63,250","61,150","2,100",3.3,50,"29,800",
Jackson County,"24,800","15,740","14,920",830,5.3,10,"9,040",
Johnston County,"91,360","61,860","59,590","2,270",3.7,150,"29,360",
Jones County,"7,940","4,540","4,310",220,4.8,50,"3,360",
Lee County,"36,930","24,080","22,980","1,100",4.6,200,"12,650",
Lenoir County,"44,740","27,470","25,500","1,980",7.2,80,"17,190",
Lincoln County,"48,730","33,440","32,330","1,110",3.3,30,"15,270",
Macon County,"24,020","13,330","12,780",550,4.1,10,"10,680",
Madison County,"15,010","8,960","8,580",380,4.2,20,"6,030",
Martin County,"19,520","11,290","10,640",650,5.8,20,"8,210",
McDowell County,"32,190","20,430","19,520",910,4.5,30,"11,730",
Mecklenburg County,"523,000","382,600","366,960","15,640",4.1,290,"140,120",
Mitchell County,"12,600","7,330","7,050",280,3.8,0,"5,270",
Montgomery County,"19,820","12,440","11,830",610,4.9,10,"7,370",
Moore County,"58,510","33,400","32,030","1,380",4.1,550,"24,550",
Nash County,"65,570","41,580","39,380","2,200",5.3,100,"23,900",
New Hanover County,"126,070","84,220","80,420","3,800",4.5,420,"41,440",
Northampton County,"16,470","8,690","7,950",740,8.5,10,"7,770",
Onslow County,"95,270","51,820","48,600","3,230",6.2,"14,340","29,110",
Orange County,"87,020","61,050","59,100","1,950",3.2,90,"25,870",
Pamlico County,"9,910","5,330","5,030",300,5.6,10,"4,570",
Pasquotank County,"24,790","15,100","14,120",980,6.5,470,"9,220",
Pender County,"31,470","18,880","17,900",980,5.2,120,"12,480",
Perquimans County,"8,950","4,710","4,430",280,5.9,50,"4,180",
Person County,"27,550","17,610","16,780",830,4.7,40,"9,900",
Pitt County,"99,330","66,450","62,870","3,580",5.4,150,"32,720",
Polk County,"14,700","8,240","7,920",310,3.8,10,"6,460",
Randolph County,"99,890","69,210","67,100","2,110",3.0,30,"30,660",
Richmond County,"34,280","20,350","19,000","1,360",6.7,40,"13,890",
Robeson County,"88,270","52,680","48,190","4,490",8.5,80,"35,510",
Rockingham County,"71,730","44,800","42,390","2,410",5.4,40,"26,900",
Rowan County,"97,040","64,270","61,560","2,710",4.2,50,"32,720",
Rutherford County,"48,020","29,960","28,190","1,770",5.9,10,"18,050",
Sampson County,"44,990","28,160","26,460","1,700",6.0,60,"16,770",
Scotland County,"25,960","15,550","14,090","1,460",9.4,40,"10,370",
Stanly County,"43,500","28,940","27,860","1,090",3.8,10,"14,550",
Stokes County,"34,380","23,360","22,210","1,150",4.9,10,"11,020",
Surry County,"54,930","35,340","34,150","1,190",3.4,20,"19,570",
Swain County,"9,810","5,800","5,360",440,7.6,0,"4,010",
Transylvania County,"23,160","12,900","12,410",490,3.8,0,"10,260",
Tyrrell County,"2,890","1,670","1,570",100,6.0,0,"1,220",
Union County,"90,800","64,400","62,160","2,240",3.5,20,"26,380",
Vance County,"31,670","19,610","18,210","1,410",7.2,20,"12,040",
Wake County,"466,190","349,200","338,590","10,610",3.0,660,"116,340",
Warren County,"14,970","7,910","7,300",610,7.7,0,"7,060",
Washington County,"10,430","5,830","5,420",420,7.2,0,"4,590",
Watauga County,"31,310","20,590","19,790",810,3.9,10,"10,710",
Wayne County,"82,430","49,720","46,750","2,970",6.0,"2,930","29,780",
Wilkes County,"51,510","32,790","31,620","1,160",3.5,40,"18,680",
Wilson County,"55,290","35,560","33,290","2,270",6.4,60,"19,660",
Yadkin County,"27,970","18,160","17,690",470,2.6,10,"9,800",
Yancey County,"14,300","8,120","7,770",340,4.2,0,"6,180",
North Dakota,"478,950","324,750","311,350","13,400",4.1,"5,850","148,350",North Dakota
Adams County,"2,000","1,240","1,220",20,1.6,10,750,
Barnes County,"8,980","5,710","5,480",240,4.2,20,"3,240",
Benson County,"4,700","2,730","2,370",350,12.8,10,"1,960",
Billings County,720,460,450,10,2.2,0,260,
Bottineau County,"5,470","3,170","3,040",130,4.1,40,"2,250",
Bowman County,"2,480","1,690","1,660",40,2.4,0,790,
Burke County,"1,850","1,050","1,020",30,2.9,0,800,
Burleigh County,"51,950","38,160","36,950","1,210",3.2,180,"13,620",
Cass County,"93,360","71,310","69,060","2,250",3.2,160,"21,890",
Cavalier County,"3,690","2,190","2,140",50,2.3,0,"1,500",
Dickey County,"4,200","2,800","2,720",80,2.9,0,"1,400",
Divide County,"1,810","1,030",980,50,4.9,0,780,
Dunn County,"2,680","1,730","1,620",110,6.4,0,950,
Eddy County,"2,110","1,280","1,220",60,4.7,0,820,
Emmons County,"3,340","1,930","1,870",60,3.1,0,"1,400",
Foster County,"2,810","1,860","1,790",60,3.2,0,960,
Golden Valley County,"1,410",880,850,30,3.4,0,530,
Grand Forks County,"47,830","33,230","31,980","1,260",3.8,"1,780","12,820",
Grant County,"2,210","1,290","1,260",30,2.3,0,920,
Griggs County,"2,170","1,320","1,280",40,3.0,0,850,
Hettinger County,"2,120","1,200","1,140",60,5.0,0,920,
Kidder County,"2,190","1,230","1,170",60,4.9,0,960,
La Moure County,"3,680","2,160","2,100",60,2.8,0,"1,520",
Logan County,"1,780",990,960,30,3.0,0,780,
Mc Henry County,"4,700","2,730","2,590",140,5.1,20,"1,960",
Mc Intosh County,"2,640","1,470","1,430",40,2.7,0,"1,170",
Mc Kenzie County,"4,160","2,620","2,440",170,6.5,0,"1,540",
Mc Lean County,"7,290","4,310","4,070",240,5.6,10,"2,970",
Mercer County,"6,410","4,360","4,120",240,5.5,10,"2,050",
Morton County,"18,980","13,320","12,820",500,3.8,40,"5,620",
Mountrail County,"4,840","2,920","2,740",170,5.8,0,"1,930",
Nelson County,"2,880","1,690","1,640",50,3.0,10,"1,180",
Oliver County,"1,580","1,040",990,50,4.8,0,540,
Pembina County,"6,620","4,210","4,000",200,4.8,10,"2,410",
Pierce County,"3,580","2,170","2,090",90,4.1,0,"1,410",
Ramsey County,"9,050","5,970","5,600",370,6.2,70,"3,010",
Ransom County,"4,350","2,970","2,870",100,3.4,0,"1,380",
Renville County,"2,040","1,260","1,230",20,1.6,30,760,
Richland County,"12,900","8,750","8,410",340,3.9,40,"4,100",
Rolette County,"9,100","5,300","4,540",750,14.2,10,"3,800",
Sargent County,"3,320","2,180","2,140",40,1.8,0,"1,140",
Sheridan County,"1,380",720,670,50,6.9,0,650,
